method,ratio,metric,grand_mean,selection_variance,training_variance,interaction_variance
random,0.02,clean_ba,0.8156825286244263,0.00046935279995709647,6.367727995896039e-05,1.6739268277607432e-05
random,0.02,mean_corruption_ba,0.5331963038706196,0.000697582825332454,1.1569816606184825e-05,2.1668883704573257e-06
random,0.02,ba_drop,0.2824862247538068,2.2536302899382594e-05,2.096139122365237e-05,6.86088774102705e-06
random,0.05,clean_ba,0.8713272349398381,3.0024655884864804e-05,6.670736987669692e-05,7.786015806976557e-06
random,0.05,mean_corruption_ba,0.6030317439166355,0.00026269100571589787,3.6752471467041263e-06,1.0221536630729376e-05
random,0.05,ba_drop,0.26829549102320255,0.00011509576349619969,3.906705726129801e-05,1.6546222624820495e-07
graph_a2,0.02,clean_ba,0.8056573089414769,2.803658745835304e-05,2.3337519914898057e-06,2.6636382269105192e-05
graph_a2,0.02,mean_corruption_ba,0.5376060825521833,1.538890071269521e-05,1.0953522804494863e-06,7.71911323763696e-05
graph_a2,0.02,ba_drop,0.26805122638929346,8.496834607559792e-05,6.626778780629847e-06,1.3139202063046395e-05
graph_a2,0.05,clean_ba,0.8721017687477959,1.6866319463372532e-07,2.1094167764728757e-05,8.725150976142126e-06
graph_a2,0.05,mean_corruption_ba,0.6181070290963496,1.089527744597406e-06,2.7383236240639944e-05,4.3040541317252336e-05
graph_a2,0.05,ba_drop,0.2539947396514462,4.008386661345904e-07,9.654513035897545e-05,1.3008229988030693e-05
