dataset,ratio,seed,final_acc_pct,final_ba_pct,selected_sha256,selection_path
pathmnist,0.02,42,88.6908,85.5409,81100af020f308e01e3325ef0e551659b9f14a32cede7df33929c9a6e7a6f7c1,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p02_s42.npy
pathmnist,0.02,43,85.4735,81.08619999999999,81100af020f308e01e3325ef0e551659b9f14a32cede7df33929c9a6e7a6f7c1,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p02_s43.npy
pathmnist,0.02,44,83.6351,77.4648,81100af020f308e01e3325ef0e551659b9f14a32cede7df33929c9a6e7a6f7c1,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p02_s44.npy
pathmnist,0.02,45,84.8329,82.6631,81100af020f308e01e3325ef0e551659b9f14a32cede7df33929c9a6e7a6f7c1,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p02_s45.npy
pathmnist,0.02,46,86.156,84.3373,81100af020f308e01e3325ef0e551659b9f14a32cede7df33929c9a6e7a6f7c1,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p02_s46.npy
pathmnist,0.05,42,89.3454,87.4137,c896a7fa5b0d22cf3d74802b8ac802a02db4cfce7c09e1a668f26f343ebea543,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p05_s42.npy
pathmnist,0.05,43,90.2228,87.3624,c896a7fa5b0d22cf3d74802b8ac802a02db4cfce7c09e1a668f26f343ebea543,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p05_s43.npy
pathmnist,0.05,44,90.0,86.6444,c896a7fa5b0d22cf3d74802b8ac802a02db4cfce7c09e1a668f26f343ebea543,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p05_s44.npy
pathmnist,0.05,45,89.6657,86.9173,c896a7fa5b0d22cf3d74802b8ac802a02db4cfce7c09e1a668f26f343ebea543,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p05_s45.npy
pathmnist,0.05,46,90.0975,87.8441,c896a7fa5b0d22cf3d74802b8ac802a02db4cfce7c09e1a668f26f343ebea543,/project/PROJECT_ROOT/USER/graph_a2_path_seed42_validation/results/path_multiseed_confirmatory/graph_a2_k50_h2/runs/20260902_183535/selection_artifacts/pathmnist_uni_graph_a2_r0p05_s46.npy
