dataset,ratio,paper_mean_pct,paper_std_pct,reproduction_acc_mean_pct,reproduction_acc_std_pct,reproduction_mean_pct,reproduction_std_pct,n_seeds,protocol,delta_pp,within_4pp,dataset_label,ratio_label
organsmnist,0.02,63.7,0.7,,,,,0,not completed,,,OrganS,2%
organsmnist,0.05,68.4,1.0,,,,,0,not completed,,,OrganS,5%
organamnist,0.02,86.5,0.9,,,,,0,not completed,,,OrganA,2%
organamnist,0.05,91.9,0.3,,,,,0,not completed,,,OrganA,5%
pathmnist,0.02,80.9,0.9,85.75766,1.8843549249013583,82.21846,3.1466288044508834,5,final epoch; fixed indices; downstream seeds 42-46,1.3184599999999875,True,Path,2%
pathmnist,0.05,85.9,1.7,89.86628,0.35707091312511424,87.23638,0.46607386431766035,5,final epoch; fixed indices; downstream seeds 42-46,1.3363799999999912,True,Path,5%
tissuemnist,0.02,42.6,0.6,,,,,0,not completed,,,Tissue,2%
tissuemnist,0.05,49.5,1.3,,,,,0,not completed,,,Tissue,5%
bloodmnist,0.02,84.5,1.7,81.26278865828705,,81.01795834227015,,1,validation checkpoint; seed42; test evaluated once,-3.4820416577298516,True,Blood,2%
bloodmnist,0.05,93.4,0.7,91.17217187956737,,91.57106572681452,,1,validation checkpoint; seed42; test evaluated once,-1.8289342731854816,True,Blood,5%
