dataset,ratio,n_seeds,training_seeds,endpoint,Random,EL2N,Forgetting,EVA,Facility,FPS,Herding,Graph-A2/Ours_k50_H2
OrganS,2%,5,"42,43,44,45,46",final_balanced_accuracy,61.75 +/- 2.12,40.64 +/- 1.68,45.59 +/- 2.39,47.55 +/- 1.89,62.64 +/- 1.60,59.08 +/- 2.50,63.02 +/- 0.99,62.72 +/- 1.52
OrganS,5%,5,"42,43,44,45,46",final_balanced_accuracy,66.62 +/- 1.13,52.85 +/- 1.11,54.04 +/- 0.97,63.18 +/- 0.89,68.60 +/- 0.58,67.28 +/- 0.85,67.84 +/- 0.90,68.36 +/- 0.86
OrganA,2%,5,"42,43,44,45,46",final_balanced_accuracy,86.20 +/- 0.44,68.80 +/- 2.42,75.73 +/- 1.27,71.71 +/- 2.67,86.06 +/- 1.02,85.72 +/- 1.28,87.59 +/- 0.73,87.08 +/- 0.67
OrganA,5%,5,"42,43,44,45,46",final_balanced_accuracy,91.09 +/- 1.03,81.38 +/- 1.52,83.85 +/- 0.26,84.59 +/- 1.15,91.75 +/- 0.40,91.40 +/- 0.60,91.51 +/- 0.66,91.16 +/- 0.49
Path,2%,5,"42,43,44,45,46",final_balanced_accuracy,81.10 +/- 1.88,36.36 +/- 2.31,40.98 +/- 4.40,54.68 +/- 5.59,81.09 +/- 1.79,74.60 +/- 1.37,81.60 +/- 3.74,81.29 +/- 2.89
Path,5%,5,"42,43,44,45,46",final_balanced_accuracy,86.91 +/- 1.85,53.16 +/- 2.41,61.09 +/- 2.60,67.97 +/- 4.27,86.30 +/- 2.11,81.87 +/- 1.54,85.45 +/- 2.92,86.27 +/- 1.36
Tissue,2%,5,"42,43,44,45,46",final_balanced_accuracy,42.28 +/- 2.93,12.82 +/- 0.46,40.14 +/- 0.50,40.03 +/- 2.34,44.88 +/- 1.41,34.95 +/- 1.12,43.63 +/- 1.02,41.63 +/- 2.29
Tissue,5%,5,"42,43,44,45,46",final_balanced_accuracy,45.62 +/- 1.18,17.21 +/- 0.56,42.18 +/- 0.49,44.40 +/- 0.54,44.47 +/- 0.75,37.86 +/- 0.54,45.38 +/- 0.49,44.31 +/- 0.43
Blood,2%,5,"42,43,44,45,46",final_balanced_accuracy,83.05 +/- 1.37,50.21 +/- 9.88,67.89 +/- 2.49,73.95 +/- 2.65,83.33 +/- 1.18,79.54 +/- 1.76,83.37 +/- 2.24,84.05 +/- 2.62
Blood,5%,5,"42,43,44,45,46",final_balanced_accuracy,91.89 +/- 1.61,75.89 +/- 1.92,83.03 +/- 0.38,85.02 +/- 2.79,91.26 +/- 1.17,91.04 +/- 0.84,93.26 +/- 1.35,93.45 +/- 1.46
