layer,dataset,ratio,method,selection_seed,training_seeds_using_file,selected_indices_sha256,selected_indices_path,selection_metrics_path,local_npy_available,dataset_label,method_label,ratio_label
A_public_final,bloodmnist,0.02,el2n,42,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/el2n/seed42/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/el2n/seed42/selection_metrics.json,False,Blood,EL2N,2%
A_public_final,bloodmnist,0.02,eva,42,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/eva/seed42/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/eva/seed42/selection_metrics.json,False,Blood,EVA,2%
A_public_final,bloodmnist,0.02,facility,42,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/facility/seed42/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/facility/seed42/selection_metrics.json,False,Blood,Facility,2%
A_public_final,bloodmnist,0.02,forgetting,42,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/forgetting/seed42/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/forgetting/seed42/selection_metrics.json,False,Blood,Forgetting,2%
A_public_final,bloodmnist,0.02,fps,42,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed42/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed42/selection_metrics.json,False,Blood,FPS,2%
A_public_final,bloodmnist,0.02,fps,43,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed43/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed43/selection_metrics.json,False,Blood,FPS,2%
A_public_final,bloodmnist,0.02,fps,44,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed44/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed44/selection_metrics.json,False,Blood,FPS,2%
A_public_final,bloodmnist,0.02,fps,45,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed45/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed45/selection_metrics.json,False,Blood,FPS,2%
A_public_final,bloodmnist,0.02,fps,46,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed46/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/fps/seed46/selection_metrics.json,False,Blood,FPS,2%
A_public_final,bloodmnist,0.02,herding,42,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/herding/seed42/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/herding/seed42/selection_metrics.json,False,Blood,Herding,2%
A_public_final,bloodmnist,0.02,random,42,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/random/seed42/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/random/seed42/selection_metrics.json,False,Blood,Random,2%
A_public_final,bloodmnist,0.02,random,43,"42,43,44,45,46",,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/random/seed43/selected_indices.npy,/project/PROJECT_ROOT/USER/_archive_fork_20260830/graph_bench/table1_reproduction/outputs/job1_selection/bloodmnist/r0p02/random/seed43/selection_metrics.json,False,Blood,Random,2%
