condition,Random,EL2N,Forgetting,EVA,Facility,FPS,Herding,Graph-A2 k=50 (available evidence)
OrganS 2%,61.8+/-2.1 | paper 57.2+/-4.7 | D +4.6,40.6+/-1.7 | paper 39.5+/-2.0 | D +1.1,45.6+/-2.4 | paper 42.5+/-1.4 | D +3.1,47.6+/-1.9 | paper 52.3+/-1.3 | D -4.7,62.6+/-1.6 | paper 63.3+/-1.2 | D -0.7,59.1+/-2.5 | paper 59.6+/-2.7 | D -0.5,63.0+/-1.0 | paper 63.2+/-0.6 | D -0.2,not completed
OrganS 5%,66.6+/-1.1 | paper 66.0+/-1.2 | D +0.6,52.8+/-1.1 | paper 51.4+/-0.9 | D +1.4,54.0+/-1.0 | paper 56.6+/-1.1 | D -2.6,63.2+/-0.9 | paper 66.0+/-0.9 | D -2.8,68.6+/-0.6 | paper 67.7+/-1.1 | D +0.9,67.3+/-0.9 | paper 66.0+/-0.8 | D +1.3,67.8+/-0.9 | paper 68.1+/-0.7 | D -0.3,not completed
OrganA 2%,86.2+/-0.4 | paper 83.6+/-2.1 | D +2.6,68.8+/-2.4 | paper 63.1+/-0.6 | D +5.7,75.7+/-1.3 | paper 72.9+/-1.8 | D +2.8,71.7+/-2.7 | paper 68.6+/-2.2 | D +3.1,86.1+/-1.0 | paper 84.9+/-1.1 | D +1.2,85.7+/-1.3 | paper 83.3+/-1.5 | D +2.4,87.6+/-0.7 | paper 86.3+/-0.7 | D +1.3,not completed
OrganA 5%,91.1+/-1.0 | paper 89.8+/-1.2 | D +1.3,81.4+/-1.5 | paper 80.9+/-0.8 | D +0.5,83.8+/-0.3 | paper 84.6+/-0.2 | D -0.8,84.6+/-1.1 | paper 81.0+/-2.0 | D +3.6,91.8+/-0.4 | paper 90.5+/-0.9 | D +1.3,91.4+/-0.6 | paper 90.7+/-0.6 | D +0.7,91.5+/-0.7 | paper 90.4+/-0.7 | D +1.1,not completed
Path 2%,81.1+/-1.9 | paper 77.5+/-4.6 | D +3.6,36.4+/-2.3 | paper 36.8+/-1.0 | D -0.4,41.0+/-4.4 | paper 53.5+/-3.9 | D -12.5,54.7+/-5.6 | paper 53.5+/-5.7 | D +1.2,81.1+/-1.8 | paper 77.0+/-1.6 | D +4.1,74.6+/-1.4 | paper 73.0+/-3.8 | D +1.6,81.6+/-3.7 | paper 78.0+/-2.1 | D +3.6,82.2 +/-3.1 | paper 80.9+/-0.9 | D +1.3
Path 5%,86.9+/-1.9 | paper 84.0+/-2.4 | D +2.9,53.2+/-2.4 | paper 49.9+/-2.4 | D +3.3,61.1+/-2.6 | paper 58.9+/-4.2 | D +2.2,68.0+/-4.3 | paper 58.7+/-3.5 | D +9.3,86.3+/-2.1 | paper 82.5+/-2.2 | D +3.8,81.9+/-1.5 | paper 83.0+/-1.6 | D -1.1,85.5+/-2.9 | paper 84.6+/-2.7 | D +0.9,87.2 +/-0.5 | paper 85.9+/-1.7 | D +1.3
Tissue 2%,42.3+/-2.9 | paper 43.1+/-1.0 | D -0.8,12.8+/-0.5 | paper 10.1+/-0.4 | D +2.7,40.1+/-0.5 | paper 39.3+/-0.6 | D +0.8,40.0+/-2.3 | paper 39.8+/-0.6 | D +0.2,44.9+/-1.4 | paper 44.7+/-1.0 | D +0.2,35.0+/-1.1 | paper 35.6+/-0.9 | D -0.6,43.6+/-1.0 | paper 42.9+/-0.9 | D +0.7,not completed
Tissue 5%,45.6+/-1.2 | paper 49.1+/-0.4 | D -3.5,17.2+/-0.6 | paper 15.2+/-0.2 | D +2.0,42.2+/-0.5 | paper 43.6+/-1.0 | D -1.4,44.4+/-0.5 | paper 46.7+/-1.0 | D -2.3,44.5+/-0.8 | paper 48.1+/-0.6 | D -3.6,37.9+/-0.5 | paper 41.0+/-1.1 | D -3.1,45.4+/-0.5 | paper 48.3+/-0.4 | D -2.9,not completed
Blood 2%,83.0+/-1.4 | paper 83.2+/-1.5 | D -0.2,50.2+/-9.9 | paper 48.3+/-6.9 | D +1.9,67.9+/-2.5 | paper 67.5+/-3.3 | D +0.4,74.0+/-2.7 | paper 75.9+/-2.5 | D -1.9,83.3+/-1.2 | paper 82.7+/-1.6 | D +0.6,79.5+/-1.8 | paper 78.8+/-2.1 | D +0.7,83.4+/-2.2 | paper 83.1+/-3.0 | D +0.3,81.0 single seed | paper 84.5+/-1.7 | D -3.5
Blood 5%,91.9+/-1.6 | paper 90.3+/-0.5 | D +1.6,75.9+/-1.9 | paper 72.5+/-1.7 | D +3.4,83.0+/-0.4 | paper 81.4+/-2.1 | D +1.6,85.0+/-2.8 | paper 86.6+/-1.7 | D -1.6,91.3+/-1.2 | paper 88.2+/-2.7 | D +3.1,91.0+/-0.8 | paper 89.0+/-2.5 | D +2.0,93.3+/-1.4 | paper 92.3+/-0.6 | D +1.0,91.6 single seed | paper 93.4+/-0.7 | D -1.8
