dataset,ratio,method,paper_mean_pct,paper_std_pct
organsmnist,0.02,random,57.2,4.7
organsmnist,0.02,el2n,39.5,2.0
organsmnist,0.02,forgetting,42.5,1.4
organsmnist,0.02,eva,52.3,1.3
organsmnist,0.02,facility,63.3,1.2
organsmnist,0.02,fps,59.6,2.7
organsmnist,0.02,herding,63.2,0.6
organsmnist,0.02,graph_a2,63.7,0.7
organsmnist,0.05,random,66.0,1.2
organsmnist,0.05,el2n,51.4,0.9
organsmnist,0.05,forgetting,56.6,1.1
organsmnist,0.05,eva,66.0,0.9
organsmnist,0.05,facility,67.7,1.1
organsmnist,0.05,fps,66.0,0.8
organsmnist,0.05,herding,68.1,0.7
organsmnist,0.05,graph_a2,68.4,1.0
organamnist,0.02,random,83.6,2.1
organamnist,0.02,el2n,63.1,0.6
organamnist,0.02,forgetting,72.9,1.8
organamnist,0.02,eva,68.6,2.2
organamnist,0.02,facility,84.9,1.1
organamnist,0.02,fps,83.3,1.5
organamnist,0.02,herding,86.3,0.7
organamnist,0.02,graph_a2,86.5,0.9
organamnist,0.05,random,89.8,1.2
organamnist,0.05,el2n,80.9,0.8
organamnist,0.05,forgetting,84.6,0.2
organamnist,0.05,eva,81.0,2.0
organamnist,0.05,facility,90.5,0.9
organamnist,0.05,fps,90.7,0.6
organamnist,0.05,herding,90.4,0.7
organamnist,0.05,graph_a2,91.9,0.3
pathmnist,0.02,random,77.5,4.6
pathmnist,0.02,el2n,36.8,1.0
pathmnist,0.02,forgetting,53.5,3.9
pathmnist,0.02,eva,53.5,5.7
pathmnist,0.02,facility,77.0,1.6
pathmnist,0.02,fps,73.0,3.8
pathmnist,0.02,herding,78.0,2.1
pathmnist,0.02,graph_a2,80.9,0.9
pathmnist,0.05,random,84.0,2.4
pathmnist,0.05,el2n,49.9,2.4
pathmnist,0.05,forgetting,58.9,4.2
pathmnist,0.05,eva,58.7,3.5
pathmnist,0.05,facility,82.5,2.2
pathmnist,0.05,fps,83.0,1.6
pathmnist,0.05,herding,84.6,2.7
pathmnist,0.05,graph_a2,85.9,1.7
tissuemnist,0.02,random,43.1,1.0
tissuemnist,0.02,el2n,10.1,0.4
tissuemnist,0.02,forgetting,39.3,0.6
tissuemnist,0.02,eva,39.8,0.6
tissuemnist,0.02,facility,44.7,1.0
tissuemnist,0.02,fps,35.6,0.9
tissuemnist,0.02,herding,42.9,0.9
tissuemnist,0.02,graph_a2,42.6,0.6
tissuemnist,0.05,random,49.1,0.4
tissuemnist,0.05,el2n,15.2,0.2
tissuemnist,0.05,forgetting,43.6,1.0
tissuemnist,0.05,eva,46.7,1.0
tissuemnist,0.05,facility,48.1,0.6
tissuemnist,0.05,fps,41.0,1.1
tissuemnist,0.05,herding,48.3,0.4
tissuemnist,0.05,graph_a2,49.5,1.3
bloodmnist,0.02,random,83.2,1.5
bloodmnist,0.02,el2n,48.3,6.9
bloodmnist,0.02,forgetting,67.5,3.3
bloodmnist,0.02,eva,75.9,2.5
bloodmnist,0.02,facility,82.7,1.6
bloodmnist,0.02,fps,78.8,2.1
bloodmnist,0.02,herding,83.1,3.0
bloodmnist,0.02,graph_a2,84.5,1.7
bloodmnist,0.05,random,90.3,0.5
bloodmnist,0.05,el2n,72.5,1.7
bloodmnist,0.05,forgetting,81.4,2.1
bloodmnist,0.05,eva,86.6,1.7
bloodmnist,0.05,facility,88.2,2.7
bloodmnist,0.05,fps,89.0,2.5
bloodmnist,0.05,herding,92.3,0.6
bloodmnist,0.05,graph_a2,93.4,0.7
